,Area/N2O,Quantity/N2O,,,,
2018\06\STD CHK 262218.DATA,8615.6,2.42,,,,
2018\06\COLBY_304_T4562218.DATA,1750.1,0.49,,,,
2018\06\COLBY_304_T3062218.DATA,1771.6,0.5,,,,
2018\06\COLBY_304_T1562218.DATA,1774.6,0.5,,,,
2018\06\COLBY_304_T062218.DATA,1750.6,0.49,,,,
2018\06\COLBY_303_T4562218.DATA,5081.6,1.43,,,,
2018\06\COLBY_303_T3062218.DATA,4473.5,1.26,,,,
2018\06\COLBY_303_T1562218.DATA,3076.3,0.87,,,,
2018\06\COLBY_303_T062218.DATA,1803.3,0.51,,,,
2018\06\COLBY_302B_T4562218.DATA,2209.6,0.62,,,,
2018\06\COLBY_302B_T3062218.DATA,2078.4,0.58,,,,
2018\06\COLBY_302B_T1562218.DATA,1904.7,0.54,,,,
2018\06\COLBY_302B_T062218.DATA,1772.7,0.5,,,,
2018\06\COLBY_302_T4562218.DATA,8211.2,2.31,,,,
2018\06\COLBY_302_T3062218.DATA,6340.8,1.78,,,,
2018\06\COLBY_302_T1562218.DATA,3961.6,1.11,,,,
2018\06\COLBY_302_T062218.DATA,1810.7,0.51,,,,
2018\06\COLBY_301_T4562218.DATA,8548.8,2.41,,,,
2018\06\COLBY_301_T3062218.DATA,7170.7,2.02,,,,
2018\06\COLBY_301_T1562218.DATA,4507.1,1.27,,,,
2018\06\COLBY_301_T062218.DATA,1852.3,0.52,,,,
2018\06\COLBY_204_T4562218.DATA,1848.7,0.52,,,,
2018\06\COLBY_204_T3062218.DATA,1782.4,0.5,,,,
2018\06\COLBY_204_T1562218.DATA,1786.8,0.5,,,,
2018\06\COLBY_204_T062218.DATA,1723.9,0.49,,,,
2018\06\COLBY_203B_T4562218.DATA,2153.9,0.61,,,,
2018\06\COLBY_203B_T3062218.DATA,2019.9,0.57,,,,
2018\06\COLBY_203B_T1562218.DATA,1920,0.54,,,,
2018\06\COLBY_203B_T062218.DATA,1788.6,0.5,,,,
