,Plot,N2O_Slope,intercept,r_value,p_value,std_err
0,304,0.0,0.495,0.0,1.0,0.00021081851067789213
1,303,0.021,0.545,0.9879755146408643,0.012024485359135695,0.002323790007724438
2,302B,0.0026666666666666657,0.5000000000000001,0.9999999999999999,1.1103230246251568e-16,2.8097899007262682e-11
3,302,0.040466666666666665,0.517,0.9990703685482687,0.0009296314517313055,0.0012346839451634602
4,301,0.042800000000000005,0.5919999999999996,0.9906982734464912,0.009301726553508808,0.004156921938165301
5,204,0.0006000000000000005,0.48899999999999993,0.9233805168766387,0.07661948312336128,0.00017638342073763953
6,203B,0.002399999999999999,0.501,0.9984603532054123,0.0015396467945877341,9.428090415821158e-05
7,203,0.016,0.485,0.9963739844336847,0.003626015566315255,0.0009660917830792817
8,202,0.008733333333333334,0.506,0.9984303684769743,0.0015696315230256939,0.00034641016151376575
9,201,0.019933333333333334,0.549,0.9839839431015037,0.016016056898496278,0.0025534290669607437
10,104,0.007199999999999998,0.503,0.9984603532054124,0.0015396467945876231,0.0002828427124746246
11,103,0.007666666666666666,0.5399999999999999,0.9486653650373076,0.051334634962692416,0.0018073922282301252
12,102,0.03706666666666667,0.5259999999999998,0.9987343565332973,0.001265643466702659,0.0013199326582148479
13,101B,0.0017333333333333326,0.506,0.9827076298239906,0.01729237017600938,0.00023094010767585126
14,101,0.006466666666666668,0.5419999999999999,0.9414813794980718,0.058518620501928235,0.0016370705543744893
